CPV_ID,short_code,level,description
03000000,03,division,"Agricultural, farming, fishing, forestry and related products"
03100000,03-1,group,Agricultural and horticultural products
03110000,03-1-1,class,"Crops, products of market gardening and horticulture"
03111000,03-1-1-1,category,Seeds
03111100,03-1-1-1-100,subcategory,Soya beans
03111200,03-1-1-1-200,subcategory,Peanuts
03111300,03-1-1-1-300,subcategory,Sunflower seeds
03111400,03-1-1-1-400,subcategory,Cotton seeds
03111500,03-1-1-1-500,subcategory,Sesame seeds
03111600,03-1-1-1-600,subcategory,Mustard seeds
03111700,03-1-1-1-700,subcategory,Vegetable seeds
03111800,03-1-1-1-800,subcategory,Fruit seeds
03111900,03-1-1-1-900,subcategory,Flower seeds
03112000,03-1-1-2,category,Unmanufactured tobacco
03113000,03-1-1-3,category,Plants used for sugar manufacturing
03113100,03-1-1-3-100,subcategory,Sugar beet
03113200,03-1-1-3-200,subcategory,Sugar cane
03114000,03-1-1-4,category,Straw and forage
03114100,03-1-1-4-100,subcategory,Straw
03114200,03-1-1-4-200,subcategory,Forage
03115000,03-1-1-5,category,Raw vegetable materials
03115100,03-1-1-5-100,subcategory,Raw vegetable materials used in textile production
03115110,03-1-1-5-110,subcategory,Cotton
03115120,03-1-1-5-120,subcategory,Jute
03115130,03-1-1-5-130,subcategory,Flax
03116000,03-1-1-6,category,"Natural rubber and latex, and associated products"
03116100,03-1-1-6-100,subcategory,Natural rubber
03116200,03-1-1-6-200,subcategory,Natural latex
03116300,03-1-1-6-300,subcategory,Latex products
03117000,03-1-1-7,category,Plants used in specific fields
03117100,03-1-1-7-100,subcategory,"Plants used in perfumery or pharmacy, or for insecticidal or similar purposes"
03117110,03-1-1-7-110,subcategory,Plants used in perfumery
03117120,03-1-1-7-120,subcategory,Plants used in pharmacy
03117130,03-1-1-7-130,subcategory,Plants used for insecticidal purposes
03117140,03-1-1-7-140,subcategory,Plants used for fungicidal or similar purposes
03117200,03-1-1-7-200,subcategory,Seeds of plants used in specific fields
03120000,03-1-2,class,Horticultural and nursery products
03121000,03-1-2-1,category,Horticultural products
03121100,03-1-2-1-100,subcategory,"Live plants, bulbs, roots, cuttings and slips"
03121200,03-1-2-1-200,subcategory,Cut flowers
03121210,03-1-2-1-210,subcategory,Floral arrangements
03130000,03-1-3,class,Beverage and spice crops
03131000,03-1-3-1,category,Beverage crops
03131100,03-1-3-1-100,subcategory,Coffee beans
03131200,03-1-3-1-200,subcategory,Tea bushes
03131300,03-1-3-1-300,subcategory,Maté
03131400,03-1-3-1-400,subcategory,Cocoa beans
03132000,03-1-3-2,category,Unprocessed spices
03140000,03-1-4,class,Animal products and related products
03141000,03-1-4-1,category,Bulls' semen
03142000,03-1-4-2,category,Animal products
03142100,03-1-4-2-100,subcategory,Natural honey
03142200,03-1-4-2-200,subcategory,Snails
03142300,03-1-4-2-300,subcategory,Edible products of animal origin
03142400,03-1-4-2-400,subcategory,Waxes
03142500,03-1-4-2-500,subcategory,Eggs
03143000,03-1-4-3,category,Products of mixed farming
03144000,03-1-4-4,category,Agricultural supplies
03200000,03-2,group,"Cereals, potatoes, vegetables, fruits and nuts"
03210000,03-2-1,class,Cereals and potatoes
03211000,03-2-1-1,category,Cereals
03211100,03-2-1-1-100,subcategory,Wheat
03211110,03-2-1-1-110,subcategory,Durum wheat
03211120,03-2-1-1-120,subcategory,Soft wheat
03211200,03-2-1-1-200,subcategory,Maize
03211300,03-2-1-1-300,subcategory,Rice
03211400,03-2-1-1-400,subcategory,Barley
03211500,03-2-1-1-500,subcategory,Rye
03211600,03-2-1-1-600,subcategory,Oats
03211700,03-2-1-1-700,subcategory,Malt
03211900,03-2-1-1-900,subcategory,Grain products
03212000,03-2-1-2,category,Potatoes and dried vegetables
03212100,03-2-1-2-100,subcategory,Potatoes
03212200,03-2-1-2-200,subcategory,Dried leguminous vegetables and pulses
03212210,03-2-1-2-210,subcategory,Dried leguminous vegetables
03212211,03-2-1-2-211,subcategory,Lentils
03212212,03-2-1-2-212,subcategory,Chick peas
03212213,03-2-1-2-213,subcategory,Dried peas
03212220,03-2-1-2-220,subcategory,Pulses
03220000,03-2-2,class,"Vegetables, fruits and nuts"
03221000,03-2-2-1,category,Vegetables
03221100,03-2-2-1-100,subcategory,Root and tuber vegetables
03221110,03-2-2-1-110,subcategory,Root vegetables
03221111,03-2-2-1-111,subcategory,Beetroot
03221112,03-2-2-1-112,subcategory,Carrots
03221113,03-2-2-1-113,subcategory,Onions
03221114,03-2-2-1-114,subcategory,Turnips
03221120,03-2-2-1-120,subcategory,Tuber vegetables
03221200,03-2-2-1-200,subcategory,Fruit vegetables
03221210,03-2-2-1-210,subcategory,Beans
03221211,03-2-2-1-211,subcategory,Broad beans
03221212,03-2-2-1-212,subcategory,Green beans
03221213,03-2-2-1-213,subcategory,Runner beans
03221220,03-2-2-1-220,subcategory,Peas
03221221,03-2-2-1-221,subcategory,Garden peas
03221222,03-2-2-1-222,subcategory,Mange-tout
03221230,03-2-2-1-230,subcategory,Peppers
03221240,03-2-2-1-240,subcategory,Tomatoes
03221250,03-2-2-1-250,subcategory,Courgettes
03221260,03-2-2-1-260,subcategory,Mushrooms
03221270,03-2-2-1-270,subcategory,Cucumbers
03221300,03-2-2-1-300,subcategory,Leaf vegetables
03221310,03-2-2-1-310,subcategory,Lettuce
03221320,03-2-2-1-320,subcategory,Salad leaves
03221330,03-2-2-1-330,subcategory,Artichokes
03221340,03-2-2-1-340,subcategory,Spinach
03221400,03-2-2-1-400,subcategory,Cabbage vegetables
03221410,03-2-2-1-410,subcategory,Cabbage
03221420,03-2-2-1-420,subcategory,Cauliflower
03221430,03-2-2-1-430,subcategory,Broccoli
03221440,03-2-2-1-440,subcategory,Brussels sprouts
03222000,03-2-2-2,category,Fruit and nuts
03222100,03-2-2-2-100,subcategory,Tropical fruit and nuts
03222110,03-2-2-2-110,subcategory,Tropical fruit
03222111,03-2-2-2-111,subcategory,Bananas
03222112,03-2-2-2-112,subcategory,Pineapples
03222113,03-2-2-2-113,subcategory,Mangoes
03222114,03-2-2-2-114,subcategory,Dates
03222115,03-2-2-2-115,subcategory,Raisins
03222116,03-2-2-2-116,subcategory,Figs
03222117,03-2-2-2-117,subcategory,Avocados
03222118,03-2-2-2-118,subcategory,Kiwi fruit
03222120,03-2-2-2-120,subcategory,Coconuts
03222200,03-2-2-2-200,subcategory,Citrus fruit
03222210,03-2-2-2-210,subcategory,Lemons
03222220,03-2-2-2-220,subcategory,Oranges
03222230,03-2-2-2-230,subcategory,Grapefruit
03222240,03-2-2-2-240,subcategory,Tangerines
03222250,03-2-2-2-250,subcategory,Limes
03222300,03-2-2-2-300,subcategory,Non-tropical fruit
03222310,03-2-2-2-310,subcategory,Berry fruit
03222311,03-2-2-2-311,subcategory,Currants
03222312,03-2-2-2-312,subcategory,Gooseberries
03222313,03-2-2-2-313,subcategory,Strawberries
03222314,03-2-2-2-314,subcategory,Raspberries
03222315,03-2-2-2-315,subcategory,Cranberries
03222320,03-2-2-2-320,subcategory,"Apples, pears and quinces"
03222321,03-2-2-2-321,subcategory,Apples
03222322,03-2-2-2-322,subcategory,Pears
03222323,03-2-2-2-323,subcategory,Quinces
03222330,03-2-2-2-330,subcategory,Stone fruit
03222331,03-2-2-2-331,subcategory,Apricots
03222332,03-2-2-2-332,subcategory,Peaches
03222333,03-2-2-2-333,subcategory,Cherries
03222334,03-2-2-2-334,subcategory,Plums
03222340,03-2-2-2-340,subcategory,Grapes
03222341,03-2-2-2-341,subcategory,Table grapes
03222342,03-2-2-2-342,subcategory,Wine grapes
03222400,03-2-2-2-400,subcategory,Olives
03300000,03-3,group,"Farming, hunting and fishing products"
03310000,03-3-1,class,"Fish, crustaceans and aquatic products"
03311000,03-3-1-1,category,Fish
03311100,03-3-1-1-100,subcategory,Flat fish
03311110,03-3-1-1-110,subcategory,Sole
03311120,03-3-1-1-120,subcategory,Plaice
03311200,03-3-1-1-200,subcategory,Fish of the cod family
03311210,03-3-1-1-210,subcategory,Cod
03311220,03-3-1-1-220,subcategory,Pollock
