sector,region,value
A,AT,1.90599
A,BE,4.26497
A,BG,3.10407
A,CY,1.46576
A,CZ,2.22807
A,DE,2.69387
A,DK,3.10614
A,EE,2.88766
A,EL,1.21009
A,ES,1.41296
A,FI,1.42637
A,FR,2.3175
A,HR,2.11307
A,HU,2.15224
A,IE,6.23711
A,IS,1.28879
A,IT,1.17891
A,LT,3.07365
A,LU,5.94061
A,LV,2.45589
A,MT,1.52335
A,NL,2.21757
A,NO,0.9226
A,PL,4.4128
A,PT,2.07049
A,RO,2.38019
A,SE,1.36979
A,SI,2.03167
A,SK,1.36539
A01,AT,2.44699
A01,BG,3.48278
A01,CZ,2.60455
A01,EE,6.44385
A01,EL,1.31895
A01,FI,4.67104
A01,HR,2.55623
A01,HU,2.24685
A01,IE,6.57109
A01,IS,3.93065
A01,LU,6.0145
A01,MT,1.30521
A01,NL,2.25506
A01,RO,2.6901
A01,SI,2.99202
A01,SK,2.10177
A02,AT,0.1897
A02,BG,0.24681
A02,CZ,0.07323
A02,EE,0.1061
A02,EL,0.00332
A02,FI,0.098
A02,HR,0.59946
A02,HU,0.53184
A02,IE,0.44967
A02,IS,0.09432
A02,LU,0.30826
A02,NL,0.46647
A02,RO,0.068
A02,SI,0.11935
A02,SK,0.12323
A03,AT,0.1322
A03,BG,0.16225
A03,CZ,0.3188
A03,EE,1.18867
A03,EL,0.13115
A03,FI,1.2073
A03,HR,0.24132
A03,HU,0.45641
A03,IE,0.78363
A03,IS,0.67691
A03,MT,5.2045
A03,NL,1.64451
A03,RO,0.41392
A03,SI,0.98893
A03,SK,0.32397
B,AT,0.87955
B,BE,1.76899
B,BG,1.14216
B,CY,1.46598
B,CZ,5.76866
B,DE,0.88224
B,DK,1.07335
B,EE,0.47906
B,EL,1.08868
B,ES,0.66505
B,FI,0.42529
B,FR,0.72816
B,HR,3.57505
B,HU,2.53792
B,IE,0.36385
B,IS,0.18295
B,IT,1.46568
B,LT,0.15562
B,LU,0.14256
B,LV,0.40824
B,NL,0.68858
B,NO,0.43218
B,PL,2.91914
B,PT,0.54614
B,RO,2.98652
