year,country,cpa,value_total,contracts
2017,AT,A01,6151656.23,18
2017,AT,A02,21347407,29
2017,AT,C10-12,104139344.83,32
2017,AT,C13-15,34777686,27
2017,AT,C16,94410050.32,80
2017,AT,C21,376736676.55,173
2017,AT,C26,532048719.47,127
2017,AT,C27,127086727.88,25
2017,AT,C28,156085313.08,57
2017,AT,C29,221871000.99,37
2017,AT,C31_32,91137828.64,60
2017,AT,C33,36256207.13,14
2017,AT,E37-39,691367166.97,67
2017,AT,F,2313275688.26,682
2017,AT,H49,92154414.99,12
2017,AT,J59_60,161206258.08,27
2017,AT,J62_63,323380066.61,83
2017,AT,M69_70,114183894.73,57
2017,AT,M71,471098836.14,188
2017,AT,M73,15357552.5,12
2017,AT,O84,25267784.3,17
2017,AT,P85,145862061.07,125
2017,AT,S96,13240291.29,11
2017,BE,A01,82576656.88,25
2017,BE,C10-12,53393475.07,57
2017,BE,C13-15,19683400.94,30
2017,BE,C16,50821606.55,38
2017,BE,C17,40870640.76,21
2017,BE,C18,13574315.5,12
2017,BE,C19,352915492.49,21
2017,BE,C20,3386538.17,13
2017,BE,C21,288156070.53,156
2017,BE,C26,1276018424.01,114
2017,BE,C27,225413965.68,31
2017,BE,C28,369472050.95,67
2017,BE,C29,103003466.49,39
2017,BE,C31_32,51696669.71,53
2017,BE,C33,78911810.07,59
2017,BE,D35,138871799.33,21
2017,BE,E37-39,182742054.53,189
2017,BE,F,1849188542.34,206
2017,BE,H49,62039082.17,16
2017,BE,I,159518096.8,14
2017,BE,J59_60,66650161.04,26
2017,BE,J61,351256528.04,14
2017,BE,J62_63,755200256.02,165
2017,BE,K64,219437751.53,40
2017,BE,K65,302917466.06,60
2017,BE,M69_70,786946849.49,180
2017,BE,M71,187083381.37,111
2017,BE,M72,154363870.1,123
2017,BE,M73,193423820.8,89
2017,BE,N78,63225968.95,14
2017,BE,O84,13342930,16
2017,BE,P85,188452826.71,37
2017,BE,Q86,14901482.53,24
2017,BE,R90-92,44998023.48,38
2017,BE,S96,9682982.94,15
2017,BG,J62_63,7243565.68,18
2017,CY,C21,100737409.11,126
2017,CY,M69_70,8978402.52,11
2017,CZ,C26,62073387.5,40
2017,CZ,C28,41388751.83,30
2017,CZ,C29,214297365.64,14
2017,CZ,F,40274577.7,31
2017,CZ,J62_63,56953513.86,15
2017,CZ,M69_70,35594839,11
2017,DE,A01,74392369.97,111
2017,DE,A02,79310780.26,118
2017,DE,B,198885229.93,22
2017,DE,C10-12,111381954.34,58
2017,DE,C13-15,70508776.4,72
2017,DE,C16,1643977320.95,1133
2017,DE,C17,119682798.21,113
2017,DE,C18,41009109.11,37
2017,DE,C19,983552116.41,181
2017,DE,C20,54504411.18,64
2017,DE,C21,705357426.1,435
2017,DE,C26,2064904224.14,1000
2017,DE,C27,544756962.81,268
2017,DE,C28,547708447.72,612
2017,DE,C29,1990167500.38,273
2017,DE,C31_32,555378246.32,472
2017,DE,C33,197222278.32,179
2017,DE,D35,1329676556.94,343
2017,DE,E36,60589181.4,21
2017,DE,E37-39,2017769797.02,1220
2017,DE,F,208917352740.88,13504
2017,DE,G47,87144880.41,75
2017,DE,H49,1613782011.89,245
2017,DE,H52,99587579.07,26
2017,DE,H53,263827888.08,82
2017,DE,I,548231082.95,146
2017,DE,J59_60,8056122178.39,418
2017,DE,J61,482214186.97,38
2017,DE,J62_63,2208455795.55,906
2017,DE,K64,94221760.24,12
2017,DE,K65,104130527.13,43
2017,DE,L68,43525881.55,17
2017,DE,M69_70,1585353795.16,497
2017,DE,M71,8243071645.64,3810
2017,DE,M72,130677918.71,168
2017,DE,M73,300095204.36,127
2017,DE,N78,189179656.53,53
2017,DE,N80-82,48248842.83,32
2017,DE,O84,1105463944.31,298
2017,DE,P85,140557053.67,112
2017,DE,Q86,168591953.24,73
2017,DE,Q87_88,321970934.35,104
2017,DE,R90-92,120046098.35,67
2017,DE,S95,13923041.37,24
2017,DE,S96,206702165.89,129
2017,DK,C21,74234310,11
2017,DK,C26,100535366.73,37
2017,DK,C28,26822322,14
2017,DK,C29,637482191,13
2017,DK,E37-39,542656974,16
2017,DK,F,2371308499.5,39
2017,DK,J62_63,92638344,16
2017,DK,M71,1041395251,26
2017,EE,C21,67188122.59,63
2017,EE,C26,9607813.54,48
2017,EE,C31_32,13204643.18,21
2017,EE,C33,28395912.27,16
2017,EE,E37-39,39205755.86,28
2017,EE,F,183009297.71,26
2017,EE,J59_60,7163458.4,12
2017,EE,J62_63,335842941.22,72
2017,EE,M71,10166786.33,13
2017,EE,M72,4713833.16,13
2017,ES,A01,529749366.91,217
2017,ES,A02,29193148.83,26
2017,ES,B,84491921.49,52
2017,ES,C10-12,385081049.71,183
2017,ES,C13-15,128579551.42,110
2017,ES,C16,704175304.23,227
2017,ES,C17,92860955.52,96
2017,ES,C18,66475088.79,67
2017,ES,C19,1601335648.31,184
2017,ES,C20,133969637.11,71
2017,ES,C21,3665535175.38,1419
2017,ES,C26,1288187566.9,661
2017,ES,C27,893283502.44,147
2017,ES,C28,806131780.13,235
2017,ES,C29,972695219.47,222
2017,ES,C31_32,178508766.87,198
2017,ES,C33,4703828642.95,1093
2017,ES,D35,2095101125.89,207
2017,ES,E36,358367734.38,34
2017,ES,E37-39,5252151620.57,1220
2017,ES,F,6625527886.85,657
2017,ES,G47,49049474.62,21
2017,ES,H49,1175614077.69,187
2017,ES,H51,377832017.48,34
2017,ES,H52,94690337.19,51
2017,ES,H53,177241681.52,61
2017,ES,I,1256728477.22,177
2017,ES,J58,10330742.79,14
2017,ES,J59_60,267676218.16,142
2017,ES,J61,854323766.86,172
2017,ES,J62_63,2792318149.61,1457
2017,ES,K65,759594868.03,226
2017,ES,M69_70,1266792364.72,613
2017,ES,M71,1292861738.82,888
2017,ES,M72,245418784.28,63
2017,ES,M73,426188515.28,167
2017,ES,N78,61514980.76,17
2017,ES,N79,408101683.32,66
2017,ES,N80-82,329659309.1,104
2017,ES,O84,369667958.77,52
2017,ES,P85,746338124.95,283
2017,ES,Q86,1769135607.91,260
2017,ES,Q87_88,4318407975.16,527
2017,ES,R90-92,785956186.68,184
2017,ES,R93,465971126.93,62
2017,ES,S94,17859104.48,15
2017,ES,S95,339861991.57,263
2017,ES,S96,436881401.83,203
2017,FI,A01,14894520,24
2017,FI,A02,158634518,32
2017,FI,B,21257664,17
2017,FI,C10-12,288265727,82
2017,FI,C13-15,41678779,37
2017,FI,C16,235511138,97
2017,FI,C17,173520922,29
2017,FI,C18,13719580,18
2017,FI,C19,43934720,12
2017,FI,C20,21306588,21
2017,FI,C21,1287955786,270
2017,FI,C26,396591961,141
2017,FI,C27,109641739,46
2017,FI,C28,207678982,157
2017,FI,C29,91252475,62
2017,FI,C31_32,136233701,93
2017,FI,C33,447934222,167
2017,FI,D35,662723560.55,70
2017,FI,E37-39,664413733,271
2017,FI,F,5947246765,630
2017,FI,H49,563265132,195
2017,FI,I,199902382,54
2017,FI,J59_60,72866653,54
2017,FI,J62_63,1644380751.27,361
2017,FI,K65,30476102,71
2017,FI,L68,78933476,62
2017,FI,M69_70,191960948,88
2017,FI,M71,452966934,335
2017,FI,M72,116669728,49
2017,FI,M73,27304332,15
2017,FI,N78,41868993,20
